"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2013年7月23日","2,043.88","2,008.95","2,051.53","2,005.09","10.95B","1.95%"
"2013年7月22日","2,004.76","1,977.73","2,005.47","1,970.64","8.29B","0.61%"
"2013年7月19日","1,992.65","2,025.32","2,035.22","1,990.25","10.46B","-1.52%"
"2013年7月18日","2,023.40","2,038.40","2,043.37","2,016.90","9.21B","-1.05%"
"2013年7月17日","2,044.92","2,061.19","2,075.81","2,043.23","10.33B","-1.01%"
"2013年7月16日","2,065.72","2,054.60","2,066.36","2,038.54","9.67B","0.31%"
"2013年7月15日","2,059.39","2,046.12","2,076.66","2,037.25","10.15B","0.98%"
"2013年7月12日","2,039.49","2,068.04","2,074.86","2,036.05","12.12B","-1.62%"
"2013年7月11日","2,072.99","2,011.02","2,092.87","2,010.40","16.00B","3.23%"
"2013年7月10日","2,008.13","1,962.84","2,009.36","1,960.28","8.98B","2.17%"
"2013年7月9日","1,965.45","1,953.60","1,969.15","1,946.37","6.45B","0.37%"
"2013年7月8日","1,958.27","1,983.21","1,983.21","1,953.12","8.41B","-2.44%"
"2013年7月5日","2,007.20","2,006.19","2,021.54","2,002.37","9.13B","0.05%"
"2013年7月4日","2,006.10","1,982.87","2,022.14","1,974.10","10.04B","0.59%"
"2013年7月3日","1,994.27","1,996.51","1,996.54","1,965.52","9.35B","-0.61%"
"2013年7月2日","2,006.56","1,992.89","2,007.62","1,978.43","8.64B","0.57%"
"2013年7月1日","1,995.24","1,965.99","1,995.92","1,957.57","7.81B","0.81%"
"2013年6月28日","1,979.21","1,935.52","1,987.98","1,925.65","10.07B","1.50%"
"2013年6月27日","1,950.01","1,955.13","1,980.54","1,942.37","10.58B","-0.08%"
"2013年6月26日","1,951.50","1,954.47","1,959.16","1,922.82","10.12B","-0.41%"
"2013年6月25日","1,959.51","1,948.32","1,963.57","1,849.65","13.82B","-0.19%"
"2013年6月24日","1,963.24","2,068.86","2,068.86","1,958.40","10.92B","-5.30%"
"2013年6月21日","2,073.10","2,058.98","2,085.86","2,042.88","7.97B","-0.52%"
"2013年6月20日","2,084.02","2,132.81","2,132.81","2,082.82","7.78B","-2.77%"
